group,TF,repeat,annealing_status,R,R_squared,RMSE,N,file
baseline,CREB1 self,1,valid,0.6433987275427022,0.41396192260356834,0.347467830076024,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\1TF\CRE_1TF_self8_singlehit_fullanneal_CREB1_scramble1_rate_invert.txt
baseline,CREB1 self,2,valid,0.6381373486637785,0.4072192757596368,0.34605444375369393,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\1TF\CRE_1TF_self8_singlehit_fullanneal_CREB1_scramble2_rate_invert.txt
baseline,CREB1 self,3,valid,0.642872388343569,0.41328490769456455,0.3482660887505963,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\1TF\CRE_1TF_self8_singlehit_fullanneal_CREB1_scramble3_rate_invert.txt
baseline,CREB1 self,4,valid,0.643171768675875,0.41366992402165326,0.3436809654681469,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\1TF\CRE_1TF_self8_singlehit_fullanneal_CREB1_scramble4_rate_invert.txt
baseline,CREB1 self,5,valid,0.6434769200839456,0.41406254668072057,0.343473599484638,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\1TF\CRE_1TF_self8_singlehit_fullanneal_CREB1_scramble5_rate_invert.txt
non-family,DLX2,1,valid,0.5910438942127918,0.34933288488622183,0.4298319500731909,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_01_CREB1_DLX2_scramble1_rate_invert.txt
non-family,DLX2,2,valid,0.6443859815780234,0.4152332932542727,0.34525217380035644,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_01_CREB1_DLX2_scramble2_rate_invert.txt
non-family,DLX2,3,valid,0.6410661736489333,0.41096583899688427,0.344599169618297,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_01_CREB1_DLX2_scramble3_rate_invert.txt
non-family,DLX2,4,valid,0.6441089435008485,0.4148763310977792,0.3461188912938548,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_01_CREB1_DLX2_scramble4_rate_invert.txt
non-family,DLX2,5,valid,0.644304576105347,0.41512838679029085,0.34552997887360126,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_01_CREB1_DLX2_scramble5_rate_invert.txt
non-family,HOXA10,1,valid,0.6438837469108789,0.41458627953599275,0.3466993422297052,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_02_CREB1_HOXA10_scramble1_rate_invert.txt
non-family,HOXA10,2,valid,0.6420989932413157,0.4122911171215112,0.34442720928236686,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_02_CREB1_HOXA10_scramble2_rate_invert.txt
non-family,HOXA10,3,valid,0.6441895498364143,0.4149801761184421,0.34583646299780835,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_02_CREB1_HOXA10_scramble3_rate_invert.txt
non-family,HOXA10,4,valid,0.643877161385002,0.41457779895320784,0.3467248562206929,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_02_CREB1_HOXA10_scramble4_rate_invert.txt
non-family,HOXA10,5,valid,0.6428541529891029,0.41326146201533687,0.3483034444163033,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_02_CREB1_HOXA10_scramble5_rate_invert.txt
non-family,HOXA11,1,s=-nan,0.6431046731559877,0.4135836206350698,0.346815586278389,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_03_CREB1_HOXA11_scramble1_rate_invert.txt
non-family,HOXA11,2,valid,0.6410036813992532,0.41088571956739534,0.34308863909152176,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_03_CREB1_HOXA11_scramble2_rate_invert.txt
non-family,HOXA11,3,valid,0.6440053304957875,0.41474286570698843,0.34600620899999895,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_03_CREB1_HOXA11_scramble3_rate_invert.txt
non-family,HOXA11,4,valid,0.6436932459852693,0.41434099492705245,0.3469295891010485,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_03_CREB1_HOXA11_scramble4_rate_invert.txt
non-family,HOXA11,5,valid,0.6434843797066163,0.41407214692640876,0.34716978768607576,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_03_CREB1_HOXA11_scramble5_rate_invert.txt
non-family,HOXA5,1,valid,0.644127736348238,0.4149005407331051,0.3456838798631561,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_04_CREB1_HOXA5_scramble1_rate_invert.txt
non-family,HOXA5,2,valid,0.6441316074777707,0.4149055277518968,0.34584720636828625,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_04_CREB1_HOXA5_scramble2_rate_invert.txt
non-family,HOXA5,3,valid,0.6409427125825867,0.4108075608127244,0.34493281686206106,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_04_CREB1_HOXA5_scramble3_rate_invert.txt
non-family,HOXA5,4,valid,0.6440987814769994,0.4148632403001554,0.34577269643901437,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_04_CREB1_HOXA5_scramble4_rate_invert.txt
non-family,HOXA5,5,s=-nan,0.641811359968281,0.41192182178433434,0.34412100736282797,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_04_CREB1_HOXA5_scramble5_rate_invert.txt
non-family,HOXA6,1,s=-nan,0.6401269625289899,0.40976252815659087,0.34541637555076105,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_05_CREB1_HOXA6_scramble1_rate_invert.txt
non-family,HOXA6,2,valid,0.6437458506718949,0.41440872025728165,0.34662619833788033,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_05_CREB1_HOXA6_scramble2_rate_invert.txt
non-family,HOXA6,3,valid,0.6440181757014698,0.41475941063384925,0.34597676897123786,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_05_CREB1_HOXA6_scramble3_rate_invert.txt
non-family,HOXA6,4,valid,0.6396701805950986,0.40917793994256607,0.3431079220227942,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_05_CREB1_HOXA6_scramble4_rate_invert.txt
non-family,HOXA6,5,valid,0.6412303651832403,0.4111763812330317,0.3426215356632243,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_05_CREB1_HOXA6_scramble5_rate_invert.txt
non-family,HOXA9,1,valid,0.6437443834103698,0.4144068311723972,0.3466265971204074,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_06_CREB1_HOXA9_scramble1_rate_invert.txt
non-family,HOXA9,2,valid,0.641317342393877,0.4112879336551453,0.34259449733161457,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_06_CREB1_HOXA9_scramble2_rate_invert.txt
non-family,HOXA9,3,valid,0.6440361739041629,0.41478259329711314,0.34624360283593064,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_06_CREB1_HOXA9_scramble3_rate_invert.txt
non-family,HOXA9,4,valid,0.6403963779300855,0.4101075208659729,0.3449735196305172,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_06_CREB1_HOXA9_scramble4_rate_invert.txt
non-family,HOXA9,5,valid,0.6437647933984249,0.41443310921931664,0.3466658231391895,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_06_CREB1_HOXA9_scramble5_rate_invert.txt
non-family,HOXB9,1,valid,0.621673834640312,0.38647835667639,0.7757655489943461,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_07_CREB1_HOXB9_scramble1_rate_invert.txt
non-family,HOXB9,2,valid,0.643005150346245,0.4134556233717971,0.3479487340969442,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_07_CREB1_HOXB9_scramble2_rate_invert.txt
non-family,HOXB9,3,valid,0.643911683876742,0.41462225663298136,0.346364879828687,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_07_CREB1_HOXB9_scramble3_rate_invert.txt
non-family,HOXB9,4,valid,0.6442813488274549,0.4150984564469246,0.3456529149529771,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_07_CREB1_HOXB9_scramble4_rate_invert.txt
non-family,HOXB9,5,valid,0.6361264649280968,0.40465687938191713,0.3473349809275317,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_07_CREB1_HOXB9_scramble5_rate_invert.txt
non-family,HOXD13,1,valid,0.6439388651461541,0.4146572620457168,0.3465226875621124,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_08_CREB1_HOXD13_scramble1_rate_invert.txt
non-family,HOXD13,2,valid,0.644051603685293,0.41480246820959776,0.3463883095171115,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_08_CREB1_HOXD13_scramble2_rate_invert.txt
non-family,HOXD13,3,valid,0.6442708483724149,0.4150849260625112,0.34564961344393746,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_08_CREB1_HOXD13_scramble3_rate_invert.txt
non-family,HOXD13,4,valid,0.6431965620763447,0.4137018174668291,0.3477484702546131,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_08_CREB1_HOXD13_scramble4_rate_invert.txt
non-family,HOXD13,5,valid,0.6435668866286327,0.4141783375648714,0.34708331170586515,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_08_CREB1_HOXD13_scramble5_rate_invert.txt
non-family,NKX22,1,valid,0.6435305834720212,0.41413161186384,0.34718035953135506,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_09_CREB1_NKX22_scramble1_rate_invert.txt
non-family,NKX22,2,valid,0.6441005526402349,0.41486552191145604,0.34620480943067866,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_09_CREB1_NKX22_scramble2_rate_invert.txt
non-family,NKX22,3,s=-nan,0.6400325290180492,0.40964163820124,0.3453865456627484,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_09_CREB1_NKX22_scramble3_rate_invert.txt
non-family,NKX22,4,valid,0.6432191696482349,0.41373090020296477,0.3475461191894073,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_09_CREB1_NKX22_scramble4_rate_invert.txt
non-family,NKX22,5,valid,0.17822456372183706,0.031763995113839164,3.5548824434000452,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_09_CREB1_NKX22_scramble5_rate_invert.txt
non-family,POU3F2,1,valid,0.6411125105429781,0.4110252511747202,0.3426180272957033,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_10_CREB1_POU3F2_scramble1_rate_invert.txt
